"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"shville",2017,NA,200368,454986,88748,134661,5110,3225,2047,1131,0.4429,0.296,0.147,1.4965,63.43,0.2839,2042,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2017,NA,242760,137092,26136,8145,3037,505,2565,399,0.1077,0.0594,0.0482,1.8121,61.94,0.2202,1358,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2017,NA,172915,254828,16115,2380,6032,335,NA,NA,0.0932,0.0093,0.0839,9.9786,47.64,0.3,4864,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2017,10,115830,522548,14130,56473,NA,NA,NA,NA,0.1464,0.1297,0.0167,1.1288,58.92,0.2746,1186,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2017,NA,726492,707054,201816,50469,11949,2051,12560,1525,0.2778,0.0714,0.2064,3.8918,77.93,0.2997,10758,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2017,NA,79366,222124,9128,11269,9128,11269,907,504,0.115,0.0507,0.0643,2.267,76.08,0.3253,3209,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2017,NA,156339,302135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2939,2656,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2017,NA,120907,1377491,12597,42907,136,385,NA,NA,0.1042,0.0311,0.073,3.3448,46.23,0.2967,1520,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2017,NA,130853,1267120,3271,11320,290,414,NA,NA,0.025,0.0089,0.0161,2.7981,52.04,0.3,4864,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2017,NA,59839,501481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.2432,11047,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
