"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"Austin",2010,NA,83798,706592,6163,27194,376,480,189,306,0.0735,0.0385,0.0351,1.911,52.54,0.3101,1247,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2010,NA,43368,304115,1371,11139,NA,NA,NA,NA,0.0316,0.0366,-0.005,0.8631,57.52,0.3497,227,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2010,NA,1783,40634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.07,0.3583,335,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2010,NA,365306,366118,77594,54730,4893,1274,93,20,0.2124,0.1495,0.0629,1.4209,73,0.2655,1491,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2010,NA,141372,155573,29370,21641,NA,NA,NA,NA,0.2077,0.1391,0.0686,1.4935,71.84,0.3434,1404,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2010,NA,246223,540810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.69,0.3256,1819,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2010,NA,112114,116216,17694,8750,1294,284,73,6,0.1578,0.0753,0.0825,2.0962,60.63,0.3081,948,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2010,NA,96036,104746,20257,12943,1352,404,115,20,0.2109,0.1236,0.0874,1.707,60.63,0.1965,308,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2010,NA,123016,146650,27528,22431,1714,706,52,10,0.2238,0.153,0.0708,1.463,67.91,0.2126,651,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2010,NA,70493,54282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93,0.337,1187,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2010,NA,628546,1471717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.26,0.2335,2570,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2010,NA,89759,103765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.2628,546,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2010,NA,612949,3179672,57975,122701,NA,NA,NA,NA,0.0946,0.0386,0.056,2.451,64.39,0.3122,5943,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2010,NA,136710,460627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.64,0.3316,1051,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2010,NA,19750,213459,5640,20535,NA,NA,NA,NA,0.2856,0.0962,0.1894,2.9685,55.66,0.3495,897,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2010,NA,182731,418491,115027,169356,7451,5468,4470,2759,0.6295,0.4047,0.2248,1.5555,63.43,0.3243,941,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2010,NA,222087,121742,16384,6023,NA,NA,NA,NA,0.0738,0.0495,0.0243,1.4912,61.94,0.311,718,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2010,NA,175045,215680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.3165,3192,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2010,NA,112570,467428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.92,0.2904,483,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2010,NA,706827,697346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.93,0.3002,5210,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2010,NA,86633,219071,9209,16509,9209,16509,1074,957,0.1063,0.0754,0.0309,1.4106,76.08,0.347,1614,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2010,NA,136337,267555,40637,36504,1310,603,51,7,0.2981,0.1364,0.1616,2.1846,60.63,0.312,930,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2010,NA,115209,1212198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.23,0.3366,1008,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2010,NA,133530,1173872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.04,0.3489,2165,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2010,NA,59964,466521,16976,47880,2409,1480,NA,NA,0.2831,0.1026,0.1805,2.7584,47.64,0.3165,3192,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2010,NA,65805,880137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.3484,1519,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2010,NA,72334,219373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.2194,248,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2010,NA,98716,236993,57336,114560,NA,NA,NA,NA,0.5808,0.4834,0.0974,1.2016,68.72,0.3585,1637,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2010,NA,78181,313725,9469,32249,NA,NA,NA,NA,0.1211,0.1028,0.0183,1.1782,40.59,0.2743,352,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2010,NA,52725,329643,15063,50924,NA,NA,NA,NA,0.2857,0.1545,0.1312,1.8493,38.3,0.3539,444,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2010,NA,92756,136861,16568,15141,374,307,5,4,0.1786,0.1106,0.068,1.6146,67.91,0.2453,310,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
