"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","BlackPolShare","PoliceRatioWhBl"
"Winston-Salem",2013,NA,93498,142228,17357,15237,0.185640334552611,0.107130804061085,0.0785095304915257,1.73283805885336,67.91,0.3243816,280,"South",80.7,14.1,5.72340425531915
"Austin",2012,NA,86375,745908,5152,17938,0.0596468885672938,0.0240485421794645,0.0355983463878293,2.48027045141337,52.54,0.3302209,910,"South",69.2,8.7,7.95402298850575
"Bakersfield",2012,NA,42258,313373,2005,9651,0.0474466373231104,0.030797165039745,0.0166494722833655,1.54061704257124,57.52,0.3980188,160,"West",75,3.4,22.0588235294118
"Burlington",2012,NA,1944,40563,468,5481,0.240740740740741,0.135123141779454,0.105617598961287,1.78163960347868,51.07,0.3698736,432,"Northeast",92,2,46
"Charlotte",2012,NA,368043,397667,55797,38112,0.151604567944506,0.0958389808558417,0.0557655870886648,1.58186748847576,73,0.3121369,1059,"South",77.2,16.5,4.67878787878788
"Cincinti",2012,NA,140988,157511,19500,17013,0.138309643373904,0.108011503958454,0.0302981394154505,1.28050844868436,71.84,0.3488809,1075,"Midwest",66.1,30.6,2.16013071895425
"Columbus",2012,NA,255963,555852,11796,14976,0.046084785691682,0.0269424235228082,0.0191423621688738,1.71049147277596,75.69,0.3652684,1485,"Midwest",86.4,11.3,7.64601769911504
"Durham",2012,NA,115358,124230,16358,7464,0.141802042337766,0.0600821057715528,0.0817199365662132,2.36013769019569,60.63,0.3132515,756,"South",64.4,29.6,2.17567567567568
"Fayetteville",2012,NA,97448,105751,25463,14173,0.261298333470158,0.134022373310891,0.127275960159268,1.94966203787502,60.63,0.191868,140,"South",71.9,18.6,3.86559139784946
"Greensboro",2012,NA,126318,149358,26644,19553,0.210927975427097,0.130913643728491,0.0800143316986054,1.61119933277964,67.91,0.300252,574,"South",75.8,19.6,3.86734693877551
"Hartford",2012,NA,69114,55067,NA,NA,NA,NA,NA,NA,63.93,0.3779814,823,"Northeast",64.7,12.4,5.21774193548387
"Houston",2012,NA,634403,1514750,NA,NA,NA,NA,NA,NA,51.26,0.3074899,1622,"South",45.1,22.8,1.9780701754386
"Little Rock",2012,NA,89630,104735,NA,NA,NA,NA,NA,NA,61.89,0.26582,377,"South",68.5,27.9,2.45519713261649
"Los Angeles",2012,NA,605666,3228501,116744,156494,0.192753101544416,0.0484726503104692,0.144280451233946,3.97653316478106,64.39,0.3318953,4128,"West",35.4,11.6,3.05172413793103
"Louisville",2012,NA,140024,461825,NA,NA,NA,NA,NA,NA,71.64,0.3286635,890,"South",84.8,11.7,7.24786324786325
"Madison",2012,NA,19989,219103,6245,21477,0.312421832007604,0.0980223912954181,0.214399440712186,3.18724964652242,55.66,0.3283942,928,"Midwest",80.1,10.3,7.77669902912621
"shville",2012,NA,187750,428938,173397,237629,0.923552596537949,0.553993817288279,0.36955877924967,1.66708105346483,63.43,0.3225767,553,"South",84.9,12.3,6.90243902439024
"New Orleans",2012,NA,228044,126077,24866,8631,0.109040360632159,0.0684581644550552,0.0405821961771035,1.59280286727154,61.94,0.2971313,394,"South",38.5,58.2,0.661512027491409
"Oakland",2012,NA,174767,226535,NA,NA,NA,NA,NA,NA,47.64,0.2908517,2804,"West",42.9,22.2,1.93243243243243
"Oklahoma City",2012,NA,113652,483026,13691,62895,0.120464224122761,0.130210382049828,-0.00974615792706683,0.925150684809931,58.92,0.3207633,420,"South",85.5,6.7,12.7611940298507
"Philadelphia",2012,NA,718625,702032,NA,NA,NA,NA,NA,NA,77.93,0.3395485,3495,"Northeast",56.8,33.4,1.70059880239521
"Pittsburgh",2012,NA,84539,219961,11305,18480,0.133725262896415,0.084014893549311,0.0497103693471037,1.59168520302804,76.08,0.3646068,1337,"Northeast",84.3,14.3,5.89510489510489
"Raleigh",2012,NA,142013,277474,31829,25786,0.224127368621183,0.0929312295926826,0.1311961390285,2.41175511831203,60.63,0.3366757,754,"South",83.8,12.2,6.86885245901639
"San Antonio",2012,NA,117050,1259212,14788,57741,0.126339171294319,0.0458548679650448,0.0804843033292739,2.7551964906022,46.23,0.3341288,621,"South",42.3,5.4,7.83333333333333
"San Diego",2012,NA,132923,1200356,NA,NA,NA,NA,NA,NA,52.04,0.3509058,1171,"West",65.7,6.5,10.1076923076923
"San Francisco",2012,NA,59162,480223,13533,34405,0.22874480240695,0.0716437988184656,0.157101003588485,3.19280672129844,47.64,0.2908517,2804,"West",52.4,9,5.82222222222222
"San Jose",2012,NA,67021,895778,NA,NA,NA,NA,NA,NA,47.64,0.3358971,1228,"West",56.3,4.7,11.9787234042553
"Stockton",2012,NA,70914,225457,624,690,0.00879939081140536,0.00306045055154641,0.00573894025985895,2.87519457125655,61.89,0.3095083,129,"West",65.3,2.3,28.3913043478261
"Tampa",2012,NA,101152,248777,55275,136494,0.54645484024043,0.548660044939846,-0.00220520469941554,0.995980744871522,68.72,0.3247896,1119,"South",69.3,14.5,4.77931034482759
"Tulsa",2012,NA,78019,315950,7429,31825,0.0952203950319794,0.10072796328533,-0.00550756825335057,0.945322350678834,40.59,0.3376845,243,"South",76.2,9.9,7.6969696969697
"Wichita",2012,NA,52242,331808,11556,45154,0.221201332261399,0.136084723695631,0.0851166085657677,1.6254677693004,38.3,0.2535529,173,"Midwest",81.4,7.9,10.3037974683544
"Winston-Salem",2012,NA,93260,140429,16641,15422,0.178436628779756,0.109820621096782,0.0686160076829735,1.624800761439,67.91,0.2812734,387,"South",80.7,14.1,5.72340425531915
"Austin",2011,NA,85110,726226,5990,23272,0.070379508870873,0.0320451209403133,0.0383343879305596,2.19626285704961,52.54,0.3291298,1009,"South",69.2,8.7,7.95402298850575
"Bakersfield",2011,NA,42825,308731,2494,16083,0.0582370110916521,0.0520938940372039,0.00614311705444816,1.11792393653776,57.52,0.3809351,176,"West",75,3.4,22.0588235294118
"Burlington",2011,NA,1863,40599,NA,NA,NA,NA,NA,NA,51.07,0.3735476,311,"Northeast",92,2,46
"Charlotte",2011,NA,366835,381731,69356,48190,0.189065928823586,0.126240729728526,0.0628251990950594,1.49766188163013,73,0.2837755,1354,"South",77.2,16.5,4.67878787878788
"Cincinti",2011,NA,141182,156541,23670,18231,0.167655933475939,0.116461502098492,0.0511944313774471,1.43958244102117,71.84,0.3073858,1622,"Midwest",66.1,30.6,2.16013071895425
"Columbus",2011,NA,251078,548347,NA,NA,NA,NA,NA,NA,75.69,0.3616125,1496,"Midwest",86.4,11.3,7.64601769911504
"Durham",2011,NA,113763,120196,17744,8910,0.155973383261693,0.0741289227594928,0.0818444605022003,2.10408269074326,60.63,0.3206866,823,"South",64.4,29.6,2.17567567567568
"Fayetteville",2011,NA,96741,105249,31860,19567,0.329332961205694,0.185911505097436,0.143421456108258,1.77145013716656,60.63,0.1908171,244,"South",71.9,18.6,3.86559139784946
"Greensboro",2011,NA,124664,148007,24155,18873,0.193760829108644,0.12751423919139,0.0662465899172544,1.51952307708807,67.91,0.1835785,419,"South",75.8,19.6,3.86734693877551
"Hartford",2011,NA,69803,54676,NA,NA,NA,NA,NA,NA,63.93,0.3577084,1157,"Northeast",64.7,12.4,5.21774193548387
"Houston",2011,NA,631524,1493184,NA,NA,NA,NA,NA,NA,51.26,0.2566405,2180,"South",45.1,22.8,1.9780701754386
"Little Rock",2011,NA,89696,104249,NA,NA,NA,NA,NA,NA,61.89,0.2500205,469,"South",68.5,27.9,2.45519713261649
"Los Angeles",2011,NA,609345,3204049,122746,172299,0.201439250342581,0.0537753948207409,0.14766385552184,3.74593717096963,64.39,0.3198982,5458,"West",35.4,11.6,3.05172413793103
"Louisville",2011,NA,138363,461230,NA,NA,NA,NA,NA,NA,71.64,0.329099,998,"South",84.8,11.7,7.24786324786325
"Madison",2011,NA,19871,216279,5664,18681,0.285038498314126,0.0863745439917884,0.198663954322338,3.30002898008034,55.66,0.351981,811,"Midwest",80.1,10.3,7.77669902912621
"shville",2011,NA,185238,423717,153026,210518,0.826104794912491,0.49683633179693,0.329268463115561,1.66273024342781,63.43,0.2956781,739,"South",84.9,12.3,6.90243902439024
"New Orleans",2011,NA,225070,123905,29053,11605,0.129084284889146,0.0936604656793511,0.0354238192097945,1.37821527955102,61.94,0.277977,608,"South",38.5,58.2,0.661512027491409
"Oakland",2011,NA,174939,221074,NA,NA,NA,NA,NA,NA,47.64,0.3130234,4054,"West",42.9,22.2,1.93243243243243
"Oklahoma City",2011,NA,113127,475212,8626,39056,0.0762505856250055,0.0821864767724721,-0.00593589114746655,0.927775330193315,58.92,0.3235274,547,"South",85.5,6.7,12.7611940298507
