"Region","City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","ProbSearchIfStopBl","ProbSearchIfStopWh","ProbSearchIfStopRatio","ProbSearchWh","ProbSearchBl","ProbSearchRatio","ProbFriskWh","ProbFriskBl","ProbFriskIfStopBl","ProbFriskIfStopWh","ProbFriskIfStopRatio","ProbFriskRatio","WhitePoliceOver"
"South","Houston",2014,4,639528.777777778,1558514.22222222,79385.6,133006.4,NA,NA,NA,NA,0.13878,0.09446,0.04438,1.47268,51.26,0.26335,3386.55555555556,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74806201550388
"South","Little Rock",2014,11,89493,105714.555555556,7044,6028,NA,NA,NA,NA,0.0861,0.0614,0.0247,1.4027,61.89,0.268911111111111,523.555555555556,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45435244161359
"West","Los Angeles",2014,6,597826.222222222,3277886,97911.3333333333,114453.666666667,NA,NA,NA,NA,0.175955555555556,0.0365444444444444,0.139444444444444,5.25587777777778,64.39,0.289733333333333,8993,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24210526315789
"South","Louisville",2014,1,143399.777777778,462959.888888889,8735.75,17334.75,781.25,858.75,2.25,1.75,0.07145,0.0442,0.02725,1.62255,71.64,0.312866666666667,1443.44444444444,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,0.0869223480117802,0.0489871768390916,1.77251561752059,0.00185072785016219,0.00533642489982123,2.85807932106617,3.77062872684451e-06,1.53336491899382e-05,0.000556824498109927,0.000278754343819408,Inf,Inf,1.25258493353028
"Midwest","Madison",2014,9,20204.7777777778,224769.111111111,5998.625,19523.25,NA,NA,NA,NA,0.3068625,0.089975,0.2168625,3.425075,55.66,0.323911111111111,1801.88888888889,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05394736842105
"South","New Orleans",2014,7,233926.888888889,130486.555555556,22396.3333333333,7990.44444444444,2749.625,531.75,2029.875,335.375,0.101066666666667,0.0640222222222222,0.0370555555555556,1.61385555555556,61.94,0.257911111111111,866.555555555556,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,0.122478864193254,0.0666145438454636,1.84675469564551,0.00407619668555925,0.011729484225727,3.02311958903681,0.00256221503510107,0.0086383526974058,0.0906644187325514,0.0423256532762885,2.14545872301745,3.49674247040313,1.25407166123779
"South","Oakland",2014,10,174003,237874,12049.6,2568.8,3492.6,198.8,NA,NA,0.07068,0.01078,0.0599,6.71614,47.64,0.278911111111111,6103.33333333333,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,0.269815491359328,0.078184072996409,3.92196755736102,0.00080413067358803,0.0201316827191626,24.5215551856358,NA,NA,NA,NA,NA,NA,1.60074626865672
"West","Oklahoma City",2014,10,114513.333333333,498844.666666667,14155.7142857143,61746.1428571429,NA,NA,NA,NA,0.126985714285714,0.1267,0.000285714285714286,0.998,58.92,0.2959,782.666666666667,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53225806451613
"South","Philadelphia",2014,4,721165.555555556,703016,153346.4,45982.2,7083.4,1647,10557.4,1491.8,0.24422,0.0735,0.17072,3.36064,77.93,0.304033333333333,6801.11111111111,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,0.0490170561372928,0.0369490333028761,1.29901046579864,0.00233625921924887,0.0097539457363259,4.4979472702288,0.00211699815923757,0.0145376513225508,0.0681962168604532,0.0314235655004759,2.17696465945603,7.28812934620743,1.56473829201102
"Northeast","Pittsburgh",2014,4,82471.2222222222,220824.777777778,8409.55555555555,13170.4444444444,8409.55555555555,13170.4444444444,1027.22222222222,670.333333333333,0.110166666666667,0.0636555555555556,0.0465222222222222,1.7778,76.08,0.342966666666667,2143.22222222222,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1,1,1,0.059736879186466,0.101356588440187,1.77780230488766,0.00304146679960084,0.0123540738342303,0.119626227722748,0.0493189445113535,2.43844002942415,4.33498695794166,1.29892141756549
